B00, 0
B01, 1
B07, Trade, 2489224.130, 224, B07, S03, 1
B07, Trade, 2489225.530, 224, B07, S00, 1
B07, Trade, 2490471.696, 224, B07, S02, 1
B07, Trade, 2492387.846, 224, B07, S00, 1
B07, Trade, 2495308.480, 224, B07, S01, 1
B07, Trade, 2495596.113, 224, B07, S03, 1
B07, Trade, 2505712.446, 224, B07, S07, 1
B07, Trade, 2505714.980, 221, S06, B07, 1
B07, Trade, 2505948.596, 224, B07, S06, 1
B07, Trade, 2505967.430, 224, B07, S05, 1
B07, Trade, 2506204.830, 224, B07, S02, 1
B07, Trade, 2506282.746, 224, B07, S01, 1
B07, Trade, 2506313.913, 224, B07, S05, 1
B07, Trade, 2506424.596, 224, B07, S07, 1
B07, Trade, 2506528.463, 224, B07, S03, 1
B07, Trade, 2506613.313, 224, B07, S05, 1
B07, Trade, 2506836.846, 224, B07, S05, 1
B07, Trade, 2506886.663, 224, B07, S06, 1
B07, Trade, 2507034.396, 224, B07, S00, 1
B07, Trade, 2507105.930, 224, B07, S05, 1
B07, Trade, 2507163.213, 224, B07, S05, 1
B07, Trade, 2507328.363, 224, B07, S00, 1
B07, Trade, 2507558.396, 224, B07, S05, 1
B07, Trade, 2507599.846, 224, B07, S06, 1
B07, Trade, 2507911.296, 224, B07, S02, 1
B07, Trade, 2508160.163, 224, B07, S05, 1
B07, Trade, 2508312.196, 224, B07, S05, 1
B07, Trade, 2508331.296, 224, B07, S01, 1
B07, Trade, 2508343.230, 224, B07, S02, 1
B07, Trade, 2508384.080, 224, B07, S01, 1
B07, Trade, 2508404.413, 224, B07, S03, 1
B07, Trade, 2508432.580, 224, B07, S00, 1
B07, Trade, 2508458.763, 221, B07, S05, 1
B07, Trade, 2508478.046, 224, B07, S05, 1
B07, Trade, 2508552.963, 224, B07, S07, 1
B07, Trade, 2508588.646, 224, B07, S05, 1
B07, Trade, 2508641.346, 224, B07, S00, 1
B07, Trade, 2508816.513, 224, B07, S00, 1
B07, Trade, 2509001.830, 224, B07, S05, 1
B07, Trade, 2509089.063, 224, B07, S07, 1
B07, Trade, 2509105.580, 224, B07, S02, 1
B07, Trade, 2509162.296, 224, B07, S01, 1
B07, Trade, 2509196.030, 224, B07, S03, 1
B07, Trade, 2509250.513, 224, B07, S00, 1
B07, Trade, 2509375.313, 224, B07, S02, 1
B07, Trade, 2509455.296, 221, B07, S05, 1
B07, Trade, 2509517.196, 224, B07, S06, 1
B07, Trade, 2509545.096, 223, B07, S00, 1
B07, Trade, 2509698.446, 224, B07, S02, 1
B07, Trade, 2509711.996, 224, B07, S01, 1
B07, Trade, 2509837.029, 224, B07, S00, 1
B07, Trade, 2509849.746, 224, B07, S06, 1
B07, Trade, 2509886.713, 224, B07, S03, 1
B07, Trade, 2510025.546, 221, B07, S06, 1
B07, Trade, 2510258.129, 224, B07, S05, 1
B07, Trade, 2510293.713, 224, B07, S05, 1
B07, Trade, 2510433.996, 224, B07, S06, 1
B07, Trade, 2510457.513, 224, B07, S03, 1
B07, Trade, 2510509.863, 224, B07, S03, 1
B07, Trade, 2510539.163, 224, B07, S01, 1
B07, Trade, 2510575.429, 224, B07, S05, 1
B07, Trade, 2510600.179, 224, B07, S07, 1
B07, Trade, 2510638.446, 224, B07, S05, 1
B07, Trade, 2510710.529, 224, B07, S02, 1
B07, Trade, 2510726.746, 224, B07, S02, 1
B07, Trade, 2511082.363, 224, B07, S03, 1
B07, Trade, 2511117.313, 224, B07, S06, 1
B07, Trade, 2511213.363, 224, B07, S06, 1
B07, Trade, 2511317.546, 224, B07, S01, 1
B07, Trade, 2511358.729, 224, B07, S07, 1
B07, Trade, 2511582.013, 222, B07, S05, 1
B07, Trade, 2511800.329, 224, B07, S00, 1
B07, Trade, 2511881.546, 224, B07, S05, 1
B07, Trade, 2511945.496, 219, B07, S03, 1
